timestamp,y,hour,day_of_week
2025-01-08 02:00:00,0,2,2
2025-01-08 03:00:00,0,3,2
2025-01-08 04:00:00,0,4,2
2025-01-08 05:00:00,0,5,2
2025-01-08 06:00:00,21,6,2
2025-01-08 07:00:00,32,7,2
2025-01-08 08:00:00,44,8,2
2025-01-08 09:00:00,86,9,2
2025-01-08 10:00:00,115,10,2
2025-01-08 11:00:00,90,11,2
2025-01-08 12:00:00,54,12,2
2025-01-08 13:00:00,47,13,2
2025-01-08 14:00:00,64,14,2
2025-01-08 15:00:00,146,15,2
2025-01-08 16:00:00,176,16,2
2025-01-08 17:00:00,228,17,2
2025-01-08 18:00:00,40,18,2
2025-01-08 19:00:00,0,19,2
2025-01-08 20:00:00,0,20,2
2025-01-08 21:00:00,0,21,2
2025-01-08 22:00:00,0,22,2
2025-01-08 23:00:00,0,23,2
2025-01-09 00:00:00,0,0,3
2025-01-09 01:00:00,0,1,3
2025-01-09 02:00:00,0,2,3
2025-01-09 03:00:00,0,3,3
2025-01-09 04:00:00,0,4,3
2025-01-09 05:00:00,0,5,3
2025-01-09 06:00:00,19,6,3
2025-01-09 07:00:00,22,7,3
2025-01-09 08:00:00,50,8,3
2025-01-09 09:00:00,96,9,3
2025-01-09 10:00:00,106,10,3
2025-01-09 11:00:00,104,11,3
2025-01-09 12:00:00,69,12,3
2025-01-09 13:00:00,45,13,3
2025-01-09 14:00:00,61,14,3
2025-01-09 15:00:00,126,15,3
2025-01-09 16:00:00,168,16,3
2025-01-09 17:00:00,224,17,3
2025-01-09 18:00:00,38,18,3
2025-01-09 19:00:00,0,19,3
2025-01-09 20:00:00,0,20,3
2025-01-09 21:00:00,0,21,3
2025-01-09 22:00:00,0,22,3
2025-01-09 23:00:00,0,23,3
2025-01-10 00:00:00,0,0,4
2025-01-10 01:00:00,0,1,4
2025-01-10 02:00:00,0,2,4
2025-01-10 03:00:00,0,3,4
2025-01-10 04:00:00,0,4,4
2025-01-10 05:00:00,0,5,4
2025-01-10 06:00:00,19,6,4
2025-01-10 07:00:00,32,7,4
2025-01-10 08:00:00,62,8,4
2025-01-10 09:00:00,100,9,4
2025-01-10 10:00:00,124,10,4
2025-01-10 11:00:00,98,11,4
2025-01-10 12:00:00,75,12,4
2025-01-10 13:00:00,64,13,4
2025-01-10 14:00:00,79,14,4
2025-01-10 15:00:00,161,15,4
2025-01-10 16:00:00,202,16,4
2025-01-10 17:00:00,245,17,4
2025-01-10 18:00:00,40,18,4
2025-01-10 19:00:00,0,19,4
2025-01-10 20:00:00,0,20,4
2025-01-10 21:00:00,0,21,4
2025-01-10 22:00:00,0,22,4
2025-01-10 23:00:00,0,23,4
2025-01-11 00:00:00,0,0,5
2025-01-11 01:00:00,0,1,5
2025-01-11 02:00:00,0,2,5
2025-01-11 03:00:00,0,3,5
2025-01-11 04:00:00,0,4,5
2025-01-11 05:00:00,0,5,5
2025-01-11 06:00:00,0,6,5
2025-01-11 07:00:00,0,7,5
2025-01-11 08:00:00,0,8,5
2025-01-11 09:00:00,0,9,5
2025-01-11 10:00:00,0,10,5
2025-01-11 11:00:00,0,11,5
2025-01-11 12:00:00,0,12,5
2025-01-11 13:00:00,0,13,5
2025-01-11 14:00:00,0,14,5
2025-01-11 15:00:00,0,15,5
2025-01-11 16:00:00,0,16,5
2025-01-11 17:00:00,0,17,5
2025-01-11 18:00:00,0,18,5
2025-01-11 19:00:00,0,19,5
2025-01-11 20:00:00,0,20,5
2025-01-11 21:00:00,0,21,5
2025-01-11 22:00:00,0,22,5
2025-01-11 23:00:00,0,23,5
2025-01-12 00:00:00,0,0,6
2025-01-12 01:00:00,0,1,6
2025-01-12 02:00:00,0,2,6
2025-01-12 03:00:00,0,3,6
2025-01-12 04:00:00,0,4,6
2025-01-12 05:00:00,0,5,6
2025-01-12 06:00:00,0,6,6
2025-01-12 07:00:00,0,7,6
2025-01-12 08:00:00,0,8,6
2025-01-12 09:00:00,0,9,6
2025-01-12 10:00:00,0,10,6
2025-01-12 11:00:00,0,11,6
2025-01-12 12:00:00,0,12,6
2025-01-12 13:00:00,0,13,6
2025-01-12 14:00:00,0,14,6
2025-01-12 15:00:00,0,15,6
2025-01-12 16:00:00,0,16,6
2025-01-12 17:00:00,0,17,6
2025-01-12 18:00:00,0,18,6
2025-01-12 19:00:00,0,19,6
2025-01-12 20:00:00,0,20,6
2025-01-12 21:00:00,0,21,6
2025-01-12 22:00:00,0,22,6
2025-01-12 23:00:00,0,23,6
2025-01-13 00:00:00,0,0,0
2025-01-13 01:00:00,0,1,0
2025-01-13 02:00:00,0,2,0
2025-01-13 03:00:00,0,3,0
2025-01-13 04:00:00,0,4,0
2025-01-13 05:00:00,0,5,0
2025-01-13 06:00:00,22,6,0
2025-01-13 07:00:00,36,7,0
2025-01-13 08:00:00,68,8,0
2025-01-13 09:00:00,100,9,0
2025-01-13 10:00:00,140,10,0
2025-01-13 11:00:00,124,11,0
2025-01-13 12:00:00,76,12,0
2025-01-13 13:00:00,76,13,0
2025-01-13 14:00:00,104,14,0
2025-01-13 15:00:00,170,15,0
2025-01-13 16:00:00,259,16,0
2025-01-13 17:00:00,283,17,0
2025-01-13 18:00:00,47,18,0
2025-01-13 19:00:00,0,19,0
2025-01-13 20:00:00,0,20,0
2025-01-13 21:00:00,0,21,0
2025-01-13 22:00:00,0,22,0
2025-01-13 23:00:00,0,23,0
2025-01-14 00:00:00,0,0,1
2025-01-14 01:00:00,0,1,1
2025-01-14 02:00:00,0,2,1
2025-01-14 03:00:00,0,3,1
2025-01-14 04:00:00,0,4,1
2025-01-14 05:00:00,0,5,1
2025-01-14 06:00:00,16,6,1
2025-01-14 07:00:00,27,7,1
2025-01-14 08:00:00,44,8,1
2025-01-14 09:00:00,84,9,1
2025-01-14 10:00:00,104,10,1
2025-01-14 11:00:00,84,11,1
2025-01-14 12:00:00,67,12,1
2025-01-14 13:00:00,62,13,1
2025-01-14 14:00:00,70,14,1
2025-01-14 15:00:00,116,15,1
2025-01-14 16:00:00,184,16,1
2025-01-14 17:00:00,227,17,1
2025-01-14 18:00:00,32,18,1
2025-01-14 19:00:00,0,19,1
2025-01-14 20:00:00,0,20,1
2025-01-14 21:00:00,0,21,1
2025-01-14 22:00:00,0,22,1
2025-01-14 23:00:00,0,23,1
2025-01-15 00:00:00,0,0,2
2025-01-15 01:00:00,0,1,2
2025-01-15 02:00:00,0,2,2
2025-01-15 03:00:00,0,3,2
2025-01-15 04:00:00,0,4,2
2025-01-15 05:00:00,0,5,2
2025-01-15 06:00:00,17,6,2
2025-01-15 07:00:00,25,7,2
2025-01-15 08:00:00,57,8,2
2025-01-15 09:00:00,95,9,2
2025-01-15 10:00:00,115,10,2
2025-01-15 11:00:00,64,11,2
2025-01-15 12:00:00,65,12,2
2025-01-15 13:00:00,61,13,2
2025-01-15 14:00:00,70,14,2
2025-01-15 15:00:00,147,15,2
2025-01-15 16:00:00,194,16,2
2025-01-15 17:00:00,245,17,2
2025-01-15 18:00:00,39,18,2
2025-01-15 19:00:00,0,19,2
2025-01-15 20:00:00,0,20,2
2025-01-15 21:00:00,0,21,2
2025-01-15 22:00:00,0,22,2
2025-01-15 23:00:00,0,23,2
2025-01-16 00:00:00,0,0,3
2025-01-16 01:00:00,0,1,3
2025-01-16 02:00:00,0,2,3
2025-01-16 03:00:00,0,3,3
2025-01-16 04:00:00,0,4,3
2025-01-16 05:00:00,0,5,3
2025-01-16 06:00:00,23,6,3
2025-01-16 07:00:00,27,7,3
2025-01-16 08:00:00,46,8,3
2025-01-16 09:00:00,90,9,3
2025-01-16 10:00:00,121,10,3
2025-01-16 11:00:00,102,11,3
2025-01-16 12:00:00,56,12,3
2025-01-16 13:00:00,47,13,3
2025-01-16 14:00:00,91,14,3
2025-01-16 15:00:00,120,15,3
2025-01-16 16:00:00,191,16,3
2025-01-16 17:00:00,222,17,3
2025-01-16 18:00:00,41,18,3
2025-01-16 19:00:00,0,19,3
2025-01-16 20:00:00,0,20,3
2025-01-16 21:00:00,0,21,3
2025-01-16 22:00:00,0,22,3
2025-01-16 23:00:00,0,23,3
2025-01-17 00:00:00,0,0,4
2025-01-17 01:00:00,0,1,4
2025-01-17 02:00:00,0,2,4
2025-01-17 03:00:00,0,3,4
2025-01-17 04:00:00,0,4,4
2025-01-17 05:00:00,0,5,4
2025-01-17 06:00:00,20,6,4
2025-01-17 07:00:00,37,7,4
2025-01-17 08:00:00,65,8,4
2025-01-17 09:00:00,106,9,4
2025-01-17 10:00:00,145,10,4
2025-01-17 11:00:00,88,11,4
2025-01-17 12:00:00,76,12,4
2025-01-17 13:00:00,72,13,4
2025-01-17 14:00:00,86,14,4
2025-01-17 15:00:00,157,15,4
2025-01-17 16:00:00,200,16,4
2025-01-17 17:00:00,254,17,4
2025-01-17 18:00:00,37,18,4
2025-01-17 19:00:00,0,19,4
2025-01-17 20:00:00,0,20,4
2025-01-17 21:00:00,0,21,4
2025-01-17 22:00:00,0,22,4
2025-01-17 23:00:00,0,23,4
2025-01-18 00:00:00,0,0,5
2025-01-18 01:00:00,0,1,5
2025-01-18 02:00:00,0,2,5
2025-01-18 03:00:00,0,3,5
2025-01-18 04:00:00,0,4,5
2025-01-18 05:00:00,0,5,5
2025-01-18 06:00:00,0,6,5
2025-01-18 07:00:00,0,7,5
2025-01-18 08:00:00,0,8,5
2025-01-18 09:00:00,0,9,5
2025-01-18 10:00:00,0,10,5
2025-01-18 11:00:00,0,11,5
2025-01-18 12:00:00,0,12,5
2025-01-18 13:00:00,0,13,5
2025-01-18 14:00:00,0,14,5
2025-01-18 15:00:00,0,15,5
2025-01-18 16:00:00,0,16,5
2025-01-18 17:00:00,0,17,5
2025-01-18 18:00:00,0,18,5
2025-01-18 19:00:00,0,19,5
2025-01-18 20:00:00,0,20,5
2025-01-18 21:00:00,0,21,5
2025-01-18 22:00:00,0,22,5
2025-01-18 23:00:00,0,23,5
2025-01-19 00:00:00,0,0,6
2025-01-19 01:00:00,0,1,6
2025-01-19 02:00:00,0,2,6
2025-01-19 03:00:00,0,3,6
2025-01-19 04:00:00,0,4,6
2025-01-19 05:00:00,0,5,6
2025-01-19 06:00:00,0,6,6
2025-01-19 07:00:00,0,7,6
2025-01-19 08:00:00,0,8,6
2025-01-19 09:00:00,0,9,6
2025-01-19 10:00:00,0,10,6
2025-01-19 11:00:00,0,11,6
2025-01-19 12:00:00,0,12,6
2025-01-19 13:00:00,0,13,6
2025-01-19 14:00:00,0,14,6
2025-01-19 15:00:00,0,15,6
2025-01-19 16:00:00,0,16,6
2025-01-19 17:00:00,0,17,6
2025-01-19 18:00:00,0,18,6
2025-01-19 19:00:00,0,19,6
2025-01-19 20:00:00,0,20,6
2025-01-19 21:00:00,0,21,6
2025-01-19 22:00:00,0,22,6
2025-01-19 23:00:00,0,23,6
2025-01-20 00:00:00,0,0,0
2025-01-20 01:00:00,0,1,0
2025-01-20 02:00:00,0,2,0
2025-01-20 03:00:00,0,3,0
2025-01-20 04:00:00,0,4,0
2025-01-20 05:00:00,0,5,0
2025-01-20 06:00:00,16,6,0
2025-01-20 07:00:00,46,7,0
2025-01-20 08:00:00,74,8,0
2025-01-20 09:00:00,94,9,0
2025-01-20 10:00:00,123,10,0
2025-01-20 11:00:00,120,11,0
2025-01-20 12:00:00,81,12,0
2025-01-20 13:00:00,56,13,0
2025-01-20 14:00:00,94,14,0
2025-01-20 15:00:00,161,15,0
2025-01-20 16:00:00,229,16,0
2025-01-20 17:00:00,264,17,0
2025-01-20 18:00:00,48,18,0
2025-01-20 19:00:00,0,19,0
2025-01-20 20:00:00,0,20,0
2025-01-20 21:00:00,0,21,0
2025-01-20 22:00:00,0,22,0
2025-01-20 23:00:00,0,23,0
2025-01-21 00:00:00,0,0,1
2025-01-21 01:00:00,0,1,1
2025-01-21 02:00:00,0,2,1
2025-01-21 03:00:00,0,3,1
2025-01-21 04:00:00,0,4,1
2025-01-21 05:00:00,0,5,1
2025-01-21 06:00:00,19,6,1
2025-01-21 07:00:00,25,7,1
2025-01-21 08:00:00,57,8,1
2025-01-21 09:00:00,78,9,1
2025-01-21 10:00:00,128,10,1
2025-01-21 11:00:00,78,11,1
2025-01-21 12:00:00,59,12,1
2025-01-21 13:00:00,47,13,1
2025-01-21 14:00:00,79,14,1
2025-01-21 15:00:00,134,15,1
2025-01-21 16:00:00,180,16,1
2025-01-21 17:00:00,240,17,1
2025-01-21 18:00:00,22,18,1
2025-01-21 19:00:00,0,19,1
2025-01-21 20:00:00,0,20,1
2025-01-21 21:00:00,0,21,1
2025-01-21 22:00:00,0,22,1
2025-01-21 23:00:00,0,23,1
2025-01-22 00:00:00,0,0,2
2025-01-22 01:00:00,0,1,2
2025-01-22 02:00:00,0,2,2
2025-01-22 03:00:00,0,3,2
2025-01-22 04:00:00,0,4,2
2025-01-22 05:00:00,0,5,2
2025-01-22 06:00:00,14,6,2
2025-01-22 07:00:00,25,7,2
2025-01-22 08:00:00,67,8,2
2025-01-22 09:00:00,88,9,2
2025-01-22 10:00:00,136,10,2
2025-01-22 11:00:00,89,11,2
2025-01-22 12:00:00,69,12,2
2025-01-22 13:00:00,56,13,2
2025-01-22 14:00:00,75,14,2
2025-01-22 15:00:00,113,15,2
2025-01-22 16:00:00,202,16,2
2025-01-22 17:00:00,222,17,2
2025-01-22 18:00:00,45,18,2
2025-01-22 19:00:00,0,19,2
2025-01-22 20:00:00,0,20,2
2025-01-22 21:00:00,0,21,2
2025-01-22 22:00:00,0,22,2
2025-01-22 23:00:00,0,23,2
2025-01-23 00:00:00,0,0,3
2025-01-23 01:00:00,0,1,3
2025-01-23 02:00:00,0,2,3
2025-01-23 03:00:00,0,3,3
2025-01-23 04:00:00,0,4,3
2025-01-23 05:00:00,0,5,3
2025-01-23 06:00:00,14,6,3
2025-01-23 07:00:00,19,7,3
2025-01-23 08:00:00,66,8,3
2025-01-23 09:00:00,104,9,3
2025-01-23 10:00:00,125,10,3
2025-01-23 11:00:00,96,11,3
2025-01-23 12:00:00,59,12,3
2025-01-23 13:00:00,55,13,3
2025-01-23 14:00:00,62,14,3
2025-01-23 15:00:00,121,15,3
2025-01-23 16:00:00,193,16,3
2025-01-23 17:00:00,215,17,3
2025-01-23 18:00:00,33,18,3
2025-01-23 19:00:00,0,19,3
2025-01-23 20:00:00,0,20,3
2025-01-23 21:00:00,0,21,3
2025-01-23 22:00:00,0,22,3
2025-01-23 23:00:00,0,23,3
2025-01-24 00:00:00,0,0,4
2025-01-24 01:00:00,0,1,4
2025-01-24 02:00:00,0,2,4
2025-01-24 03:00:00,0,3,4
2025-01-24 04:00:00,0,4,4
2025-01-24 05:00:00,0,5,4
2025-01-24 06:00:00,18,6,4
2025-01-24 07:00:00,24,7,4
2025-01-24 08:00:00,80,8,4
2025-01-24 09:00:00,97,9,4
2025-01-24 10:00:00,132,10,4
2025-01-24 11:00:00,90,11,4
