mae,rmse,mape_percent,bias,walk,origin_timestamp,train_rows,evaluated_rows
21.11865234375,24.69057846069336,0.41822028160095215,21.11865234375,1,2023-09-12 10:25:00,72798,12
26.02274513244629,28.741514205932617,0.528770387172699,26.02274513244629,2,2023-09-12 11:25:00,72810,12
24.91556739807129,27.177030563354492,0.5195761919021606,24.91556739807129,3,2023-09-12 12:25:00,72822,12
29.87699317932129,32.930137634277344,0.6402027010917664,29.87699317932129,4,2023-09-12 13:25:00,72834,12
37.272216796875,39.460609436035156,0.8202768564224243,37.272216796875,5,2023-09-12 14:25:00,72846,12
73.4998779296875,92.64706420898438,1.66818368434906,10.5228271484375,6,2023-09-12 15:25:00,72858,12
2517.552001953125,2861.170654296875,390.6883850097656,1777.5396728515625,7,2023-09-12 16:25:00,72870,12
971.8953247070312,1147.1490478515625,19.50623321533203,924.5211791992188,8,2023-09-12 17:25:00,72882,12
1947.51611328125,2225.48779296875,37.67675018310547,1656.4591064453125,9,2023-09-12 18:25:00,72894,12
40.29439163208008,46.449100494384766,0.7938926815986633,5.3182373046875,10,2023-09-12 19:25:00,72906,12
17.35738182067871,20.71733856201172,0.3384467363357544,12.2894287109375,11,2023-09-12 20:25:00,72918,12
11.804484367370605,12.404495239257812,0.22738908231258392,6.5262451171875,12,2023-09-12 21:25:00,72930,12
