split,origin_timestamp,timestamp,actual,forecast,error,q00,q10,q20,q30,q40,q50,q60,q70,q80,q90
walk_forward,2023-09-12 12:25:00,2023-09-12 12:40:00,4837.412,4861.736,-24.32373,4881.815,4716.052,4798.5103,4798.5103,4852.1807,4861.736,4861.736,4861.736,4861.736,4975.506
walk_forward,2023-09-12 12:25:00,2023-09-12 12:45:00,4826.886,4841.559,-14.672852,4845.165,4702.033,4774.7046,4774.7046,4774.7046,4841.559,4892.0757,4892.0757,4892.0757,4991.665
walk_forward,2023-09-12 12:25:00,2023-09-12 12:50:00,4816.3604,4844.606,-28.245605,4913.4385,4694.447,4772.061,4799.6455,4799.6455,4844.606,4875.8066,4875.8066,4903.131,4966.364
walk_forward,2023-09-12 12:25:00,2023-09-12 12:55:00,4805.834,4827.5317,-21.697754,4884.254,4721.879,4757.4546,4771.776,4796.8203,4827.5317,4827.5317,4842.5283,4900.7188,4993.1626
walk_forward,2023-09-12 12:25:00,2023-09-12 13:00:00,4795.308,4808.3774,-13.069336,4848.0776,4662.9365,4726.9287,4726.9287,4790.2886,4808.3774,4818.0386,4849.288,4850.0693,5005.4287
walk_forward,2023-09-12 12:25:00,2023-09-12 13:05:00,4784.782,4806.0884,-21.306152,4820.12,4607.8784,4742.4536,4742.4536,4773.086,4806.0884,4861.194,4862.932,4862.932,4999.089
walk_forward,2023-09-12 12:25:00,2023-09-12 13:10:00,4774.256,4794.406,-20.149902,4766.4487,4617.7646,4708.5527,4708.5527,4741.4287,4794.406,4829.229,4836.945,4836.945,4972.241
walk_forward,2023-09-12 12:25:00,2023-09-12 13:15:00,4763.73,4816.048,-52.31787,4779.907,4652.7476,4733.0547,4754.9487,4788.15,4816.048,4838.0195,4848.3247,4906.544,5042.53
walk_forward,2023-09-12 12:25:00,2023-09-12 13:20:00,4753.204,4790.342,-37.137695,4690.501,4647.6523,4692.648,4742.0024,4742.0024,4790.342,4838.3467,4838.3467,4882.5986,4962.395
walk_forward,2023-09-12 12:25:00,2023-09-12 13:25:00,4742.6777,4761.4404,-18.762695,4838.1924,4577.2314,4726.638,4741.0674,4741.0674,4761.4404,4807.6763,4807.6763,4817.2427,5015.631
walk_forward,2023-09-12 13:25:00,2023-09-12 13:30:00,4732.152,4739.622,-7.470215,4737.379,4677.09,4677.09,4718.925,4739.622,4739.622,4739.758,4747.9424,4754.178,4807.5815
walk_forward,2023-09-12 13:25:00,2023-09-12 13:35:00,4721.626,4767.949,-46.323242,4755.0,4635.8755,4683.3066,4683.3066,4732.0957,4767.949,4771.6294,4781.624,4781.624,4860.282
walk_forward,2023-09-12 13:25:00,2023-09-12 13:40:00,4711.0996,4736.624,-25.524414,4748.5557,4595.705,4675.2104,4675.2104,4733.4985,4736.624,4736.624,4736.624,4736.624,4867.537
walk_forward,2023-09-12 13:25:00,2023-09-12 13:45:00,4700.5737,4714.624,-14.050293,4716.737,4568.7705,4641.3184,4641.3184,4641.3184,4714.624,4772.198,4772.198,4772.198,4895.187
walk_forward,2023-09-12 13:25:00,2023-09-12 13:50:00,4690.0474,4722.7964,-32.749023,4785.19,4575.247,4649.576,4674.3066,4674.3066,4722.7964,4753.2637,4753.2637,4788.552,4864.1064
walk_forward,2023-09-12 13:25:00,2023-09-12 13:55:00,4679.5215,4703.0005,-23.479004,4739.0684,4589.542,4635.316,4649.399,4673.2876,4703.0005,4703.0005,4721.1636,4782.2085,4884.6606
walk_forward,2023-09-12 13:25:00,2023-09-12 14:00:00,4668.9956,4686.153,-17.157227,4706.445,4541.452,4620.2114,4620.2114,4683.998,4686.153,4698.6826,4742.999,4742.999,4924.9688
walk_forward,2023-09-12 13:25:00,2023-09-12 14:05:00,4658.469,4692.461,-33.9917,4684.202,4485.4526,4637.1777,4637.1777,4664.5127,4692.461,4755.2695,4761.9653,4761.9653,4937.2163
walk_forward,2023-09-12 13:25:00,2023-09-12 14:10:00,4647.9434,4676.9595,-29.016113,4657.808,4493.98,4598.3643,4598.3643,4627.067,4676.9595,4715.92,4733.684,4733.684,4892.148
walk_forward,2023-09-12 13:25:00,2023-09-12 14:15:00,4637.4175,4697.4473,-60.029785,4645.0522,4517.6,4621.2183,4648.661,4671.5825,4697.4473,4720.3696,4741.467,4819.1626,4967.747
walk_forward,2023-09-12 13:25:00,2023-09-12 14:20:00,4626.891,4667.621,-40.72998,4548.34,4512.6816,4569.5723,4614.6943,4614.6943,4667.621,4720.959,4720.959,4781.8457,4875.701
walk_forward,2023-09-12 13:25:00,2023-09-12 14:25:00,4616.365,4644.368,-28.00293,4707.831,4433.9805,4608.074,4621.9463,4621.9463,4644.368,4687.589,4687.589,4695.5044,4932.6836
walk_forward,2023-09-12 14:25:00,2023-09-12 14:30:00,4605.8394,4629.36,-23.520508,4633.738,4570.119,4570.119,4608.145,4627.02,4629.36,4629.36,4629.36,4634.8496,4691.5103
walk_forward,2023-09-12 14:25:00,2023-09-12 14:35:00,4595.313,4645.8447,-50.53174,4657.407,4525.6143,4567.6924,4567.6924,4611.2983,4645.8447,4646.1216,4650.9067,4650.9067,4731.6016
walk_forward,2023-09-12 14:25:00,2023-09-12 14:40:00,4584.787,4618.293,-33.50586,4654.13,4483.139,4553.9683,4553.9683,4611.1265,4618.293,4618.293,4618.293,4618.293,4735.12
walk_forward,2023-09-12 14:25:00,2023-09-12 14:45:00,4574.261,4594.954,-20.692871,4620.398,4453.461,4523.5215,4523.5215,4523.5215,4594.954,4651.884,4651.884,4651.884,4741.739
walk_forward,2023-09-12 14:25:00,2023-09-12 14:50:00,4563.735,4608.9863,-45.251465,4672.1426,4469.1904,4541.16,4562.8965,4562.8965,4608.9863,4646.1294,4646.1294,4668.745,4726.432
walk_forward,2023-09-12 14:25:00,2023-09-12 14:55:00,4553.209,4585.218,-32.00879,4632.7695,4484.295,4526.3594,4529.3535,4552.4214,4585.218,4586.7466,4598.1846,4653.447,4733.733
walk_forward,2023-09-12 14:25:00,2023-09-12 15:00:00,4542.683,4573.4395,-30.756348,4613.0493,4419.79,4499.088,4499.088,4563.121,4573.4395,4582.0166,4620.9766,4620.9766,4765.1665
walk_forward,2023-09-12 14:25:00,2023-09-12 15:05:00,4532.1567,4560.795,-28.638184,4571.3765,4328.9404,4490.2,4490.2,4525.0522,4560.795,4618.8745,4618.8745,4618.8745,4747.2397
walk_forward,2023-09-12 14:25:00,2023-09-12 15:10:00,4521.631,4556.7725,-35.1416,4539.315,4367.5,4469.7686,4469.7686,4498.703,4556.7725,4584.018,4605.275,4605.275,4722.8887
walk_forward,2023-09-12 14:25:00,2023-09-12 15:15:00,4511.1045,4577.2495,-66.14502,4551.672,4398.478,4493.9653,4515.8433,4545.058,4577.2495,4601.396,4614.988,4678.417,4799.737
walk_forward,2023-09-12 14:25:00,2023-09-12 15:20:00,4500.5786,4553.2236,-52.64502,4461.5527,4407.0293,4452.3125,4511.2676,4511.2676,4553.2236,4617.413,4617.413,4651.132,4719.5674
walk_forward,2023-09-12 14:25:00,2023-09-12 15:25:00,4490.0527,4518.482,-28.4292,4578.8955,4304.5513,4486.447,4499.0664,4499.0664,4518.482,4576.8457,4576.8457,4576.8457,4749.4814
walk_forward,2023-09-12 15:25:00,2023-09-12 15:30:00,4479.5264,4512.3486,-32.822266,4515.489,4453.773,4453.773,4492.038,4509.328,4512.3486,4512.3486,4512.3486,4527.4917,4584.3994
walk_forward,2023-09-12 15:25:00,2023-09-12 15:35:00,4469.0005,4525.7534,-56.75293,4521.5117,4402.9644,4447.2026,4447.2026,4493.322,4525.7534,4528.8193,4539.228,4539.228,4624.924
walk_forward,2023-09-12 15:25:00,2023-09-12 15:40:00,4458.4746,4501.14,-42.665527,4537.57,4371.0996,4438.2803,4438.2803,4490.9023,4501.14,4501.14,4501.14,4501.14,4642.212
walk_forward,2023-09-12 15:25:00,2023-09-12 15:45:00,4447.948,4471.4844,-23.536133,4475.8774,4333.9487,4402.051,4402.051,4402.051,4471.4844,4526.911,4526.911,4526.911,4640.796
walk_forward,2023-09-12 15:25:00,2023-09-12 15:50:00,4437.4224,4490.166,-52.743652,4564.824,4344.5923,4417.429,4442.1743,4442.1743,4490.166,4524.7573,4524.7573,4552.5747,4627.4756
walk_forward,2023-09-12 15:25:00,2023-09-12 15:55:00,4426.8965,4467.1616,-40.265137,4528.814,4361.8306,4410.4546,4413.115,4438.785,4467.1616,4467.1616,4483.555,4541.6357,4632.275
walk_forward,2023-09-12 15:25:00,2023-09-12 16:00:00,4416.37,4453.82,-37.449707,4490.681,4313.985,4375.5186,4375.5186,4444.5825,4453.82,4460.697,4502.889,4502.889,4664.8057
walk_forward,2023-09-12 15:25:00,2023-09-12 16:05:00,4405.844,4298.27,107.57422,4312.4624,4083.479,4224.4385,4224.4385,4263.4663,4298.27,4356.275,4356.275,4356.275,4506.4604
walk_forward,2023-09-12 15:25:00,2023-09-12 16:10:00,4395.3184,4201.4395,193.8789,4153.8154,4025.612,4112.0283,4112.0283,4144.618,4201.4395,4228.3564,4240.327,4240.327,4379.1143
walk_forward,2023-09-12 15:25:00,2023-09-12 16:15:00,4384.792,4416.9844,-32.192383,4371.917,4246.319,4329.4326,4353.2856,4389.3677,4416.9844,4440.0527,4445.592,4511.9175,4652.613
walk_forward,2023-09-12 15:25:00,2023-09-12 16:20:00,4374.266,4559.9746,-185.7085,4457.9946,4427.3306,4463.9575,4521.647,4521.647,4559.9746,4619.0664,4619.0664,4653.2646,4740.2866
walk_forward,2023-09-12 15:25:00,2023-09-12 16:25:00,4363.74,4287.331,76.40918,4332.7637,4090.5684,4250.4873,4274.398,4274.398,4287.331,4339.1016,4339.1016,4339.1016,4545.1816
walk_forward,2023-09-12 16:25:00,2023-09-12 16:30:00,646.85,4507.3223,-3860.4722,4592.544,3924.7761,4156.3833,4313.132,4413.106,4507.3223,4620.736,4810.8037,5063.8667,5447.2256
walk_forward,2023-09-12 16:25:00,2023-09-12 16:35:00,565.0975,4582.481,-4017.3835,4787.2603,3776.504,4086.876,4212.4966,4404.1226,4582.481,4740.855,5009.3203,5267.921,5793.4336
walk_forward,2023-09-12 16:25:00,2023-09-12 16:40:00,483.345,4805.522,-4322.177,5067.7495,3815.8809,4219.936,4411.822,4636.543,4805.522,5012.1997,5292.5728,5697.579,6325.515
walk_forward,2023-09-12 16:25:00,2023-09-12 16:45:00,401.5925,4044.8613,-3643.2688,4376.7646,2862.0981,3345.142,3610.7153,3776.4375,4044.8613,4338.2876,4569.509,5034.7817,5859.467
walk_forward,2023-09-12 16:25:00,2023-09-12 16:50:00,319.84,3964.1216,-3644.2815,4377.8086,2610.9907,3133.1958,3446.8516,3677.0454,3964.1216,4274.1924,4617.072,5113.1343,5923.895
walk_forward,2023-09-12 16:25:00,2023-09-12 16:55:00,1290.29,4283.579,-2993.289,4730.225,2886.5566,3406.4243,3763.3623,4006.418,4283.579,4609.084,4995.7407,5573.118,6462.617
walk_forward,2023-09-12 16:25:00,2023-09-12 17:00:00,2260.74,4478.716,-2217.9758,4999.595,2942.2524,3465.7808,3820.273,4183.1865,4478.716,4817.7437,5301.4043,5884.5376,6939.5474
walk_forward,2023-09-12 16:25:00,2023-09-12 17:05:00,3231.19,4274.379,-1043.189,4858.9536,2561.4038,3221.1924,3631.4888,3921.7764,4274.379,4690.1943,5098.061,5761.517,6868.823
walk_forward,2023-09-12 16:25:00,2023-09-12 17:10:00,4201.64,4230.156,-28.515625,4946.448,2429.609,3117.9575,3503.3774,3839.8809,4230.156,4638.276,5138.8955,5809.645,7020.351
walk_forward,2023-09-12 16:25:00,2023-09-12 17:15:00,5172.09,4219.2075,952.8823,4863.899,2341.6458,3057.0012,3458.6135,3833.493,4219.2075,4660.026,5190.2114,5865.4995,7165.35
walk_forward,2023-09-12 16:25:00,2023-09-12 17:20:00,6142.54,4375.8745,1766.6655,5034.0527,2464.3823,3148.9238,3648.2734,3974.482,4375.8745,4865.6846,5405.9307,6174.7573,7468.5317
walk_forward,2023-09-12 16:25:00,2023-09-12 17:25:00,5841.5166,4120.9907,1720.5259,4906.973,2172.818,2952.2073,3381.466,3731.068,4120.9907,4624.7065,5205.8486,5942.262,7379.6646
walk_forward,2023-09-12 17:25:00,2023-09-12 17:30:00,5540.493,5646.534,-106.041016,5562.382,3724.4143,4493.5283,4930.9023,5332.165,5646.534,5789.9727,6029.467,6359.7295,6973.1143
walk_forward,2023-09-12 17:25:00,2023-09-12 17:35:00,5239.47,6002.299,-762.8286,5990.95,3462.2046,4463.196,4987.3325,5624.611,6002.299,6261.674,6603.208,6947.458,7724.412
walk_forward,2023-09-12 17:25:00,2023-09-12 17:40:00,4938.447,6105.2812,-1166.8345,5938.1914,2955.4636,4161.7295,4910.258,5670.3145,6105.2812,6439.1016,6789.6895,7341.9893,8194.846
walk_forward,2023-09-12 17:25:00,2023-09-12 17:45:00,4637.4233,6460.2793,-1822.856,6431.3945,2685.0466,4220.594,5146.9106,5894.2905,6460.2793,6924.744,7271.9077,7891.8354,8989.132
walk_forward,2023-09-12 17:25:00,2023-09-12 17:50:00,4336.4,6244.242,-1907.8423,6028.5195,1895.5632,3684.6526,4649.918,5627.8174,6244.242,6768.2607,7279.328,7952.1025,9110.76
walk_forward,2023-09-12 17:25:00,2023-09-12 17:55:00,4717.099,6381.342,-1664.2427,5809.624,1702.0028,3596.0635,4732.8203,5675.792,6381.342,6998.045,7535.3047,8353.219,9618.135
walk_forward,2023-09-12 17:25:00,2023-09-12 18:00:00,5097.7983,6525.852,-1428.0537,6135.5024,1336.3062,3449.958,4608.665,5743.103,6525.852,7209.7925,7924.0728,8644.961,10110.326
walk_forward,2023-09-12 17:25:00,2023-09-12 18:05:00,5478.497,6502.176,-1023.6787,6055.7627,820.0292,3153.8193,4543.4746,5616.769,6502.176,7223.849,7859.592,8803.3545,10272.458
