split,timestamp,forecast,actual,error,q00,q10,q20,q30,q40,q50,q60,q70,q80,q90
80_10_10_validation,2023-10-18 13:55:00,2275.9614,2161.162,-114.79932,2314.2266,2229.149,2229.149,2237.9712,2258.2573,2275.9614,2281.644,2298.4404,2307.8638,2327.276
80_10_10_validation,2023-10-18 14:00:00,2275.6882,2164.7422,-110.946045,2258.4504,2203.3577,2203.3577,2252.6277,2252.6277,2275.6882,2303.4524,2303.4524,2338.8196,2338.8196
80_10_10_validation,2023-10-18 14:05:00,2271.9133,2168.322,-103.59131,2360.0608,2172.97,2226.9426,2234.426,2244.0085,2271.9133,2290.6042,2301.674,2301.674,2366.7747
80_10_10_test,2023-11-23 15:50:00,8864.141,8952.042,87.90137,8857.127,8610.064,8717.422,8781.914,8846.603,8864.141,8864.141,8864.141,8864.141,8865.098
80_10_10_test,2023-11-23 15:55:00,8860.895,8979.318,118.42383,8687.731,8554.223,8750.13,8762.366,8823.79,8860.895,8866.905,8888.753,8888.753,8888.753
80_10_10_test,2023-11-23 16:00:00,8882.328,9006.594,124.265625,8867.9,8512.368,8740.838,8829.685,8875.077,8882.328,8882.328,8882.328,8882.328,8887.176
80_10_10_test,2023-11-23 16:05:00,8650.389,9033.87,383.48145,8663.016,8157.158,8505.797,8597.375,8597.375,8650.389,8683.332,8683.332,8683.332,8683.332
80_10_10_test,2023-11-23 16:10:00,8693.537,1833.67,-6859.867,8644.439,8159.0337,8493.208,8608.583,8647.094,8693.537,8725.32,8725.32,8725.32,8725.32
80_10_10_test,2023-11-23 16:15:00,9009.287,6217.86,-2791.4272,8922.766,8303.826,8743.642,8914.449,8990.902,9009.287,9009.287,9009.287,9009.287,9009.287
80_10_10_test,2023-11-23 16:20:00,8986.612,5482.9526,-3503.6597,8809.311,8065.0435,8732.095,8842.141,8964.049,8986.612,8986.612,9006.941,9006.941,9006.941
80_10_10_test,2023-11-23 16:25:00,8880.969,4748.046,-4132.923,8750.766,7817.495,8546.633,8749.521,8846.199,8880.969,8880.969,8880.969,8880.969,8880.969
80_10_10_test,2023-11-23 16:30:00,8897.275,4013.1387,-4884.1367,8717.679,7618.774,8485.796,8725.497,8833.926,8897.275,8943.87,8943.87,8943.87,8943.87
80_10_10_test,2023-11-23 16:35:00,8878.633,3278.2314,-5600.4014,8612.621,7400.9707,8326.164,8661.555,8795.088,8878.633,8905.936,8905.936,8905.936,8905.936
80_10_10_test,2023-11-23 16:40:00,8873.2,2543.3242,-6329.876,8426.808,7237.92,8206.827,8575.099,8744.076,8873.2,8969.329,8969.329,8969.329,8969.329
