date,lnncp,dow,dow_sin,dow_cos,zscore,flag_zscore,modified_zscore,flag_modified_zscore,flag_iqr,rolling_zscore,flag_rolling_zscore,iso_forest_score,flag_iso_forest,lof_score,flag_lof,vote_count,n_methods,is_anomaly
2023-04-11,-5112.21,1,0.7818314824680298,0.6234898018587336,-0.03749666535837154,False,-0.08879779626393139,False,False,-0.16853899067550956,False,,False,,False,0,6,False
2023-04-12,-13758.91,2,0.9749279121818236,-0.22252093395631434,-2.309474349092892,False,-1.922982132412939,False,False,-2.350606934343917,False,,False,,False,0,6,False
2023-04-13,-1122.35,3,0.43388373911755823,-0.900968867902419,1.0108654706270348,False,0.7575526860504175,False,False,0.7302628513376086,False,,False,,False,0,6,False
2023-04-14,-8569.06,4,-0.433883739117558,-0.9009688679024191,-0.9458068942338588,False,-0.8220833413177319,False,False,-1.1777985255031522,False,,False,,False,0,6,False
2023-04-15,-781.68,5,-0.9749279121818236,-0.2225209339563146,1.100378769055087,False,0.8298174318836119,False,False,0.8041467340967101,False,,False,,False,0,6,False
2023-04-16,-1021.88,6,-0.7818314824680299,0.6234898018587334,1.037264628442711,False,0.7788649208050511,False,False,0.7199061472200303,False,,False,,False,0,6,False
2023-04-17,-1528.81,0,0.0,1.0,0.9040654140354181,False,0.6713322128905848,False,False,0.6388957587619717,False,,False,,False,0,6,False
2023-04-18,-189.69,1,0.7818314824680298,0.6234898018587336,1.2559280617325246,False,0.955393522780353,False,False,1.023596958103401,False,0.4847566949656829,False,1.0418903934105228,False,0,6,False
2023-04-19,-299.93,2,0.9749279121818236,-0.22252093395631434,1.226961771719584,False,0.9320088232745222,False,False,0.9559093625368265,False,0.5184645571358614,False,1.1451731546759936,False,0,6,False
2023-04-20,-3465.54,3,0.43388373911755823,-0.900968867902419,0.3951767814450474,False,0.2605026675900807,False,False,0.18260123937641945,False,0.5187499677013299,False,1.0737642662330038,False,0,6,False
2023-04-21,-5109.97,4,-0.433883739117558,-0.9009688679024191,-0.036908090525017215,False,-0.08832263546120048,False,False,-0.2728942150907469,False,0.49509343684687357,False,1.0302387874366734,False,0,6,False
