UBR L6 Name,Side,forecast_date,sarimax_daily_total,seasonal_naive_daily_total,ensemble_daily_total
Corporate Bank,Debit,2026-07-01,63950270.24407816,40762358.3,52356314.27203908
Corporate Bank,Credit,2026-07-01,69333835.8682309,44169541.81,56751688.83911545
FIC Trading,Debit,2026-07-01,136464518.66286677,93578033.79,115021276.2264334
FIC Trading,Credit,2026-07-01,139754125.26620284,105068845.72999999,122411485.49810141
Corporate Cash Management,Debit,2026-07-01,14733292.520975195,11023051.88,12878172.200487599
Corporate Cash Management,Credit,2026-07-01,16298944.72246286,10021260.439999998,13160102.581231432
